OFFENSE
1	2017-09-02	N	Florida State	W (24-7)	10	18	55.6	96	1	42	173	4.1	1	60	269	4.5	4	8	1	13	5	30	0	0	0
2	2017-09-09		Fresno State	W (41-10)	20	27	74.1	192	2	39	305	7.8	3	66	497	7.5	11	17	0	28	4	30	0	0	0
3	2017-09-16		Colorado State	W (41-23)	13	21	61.9	248	2	39	239	6.1	3	60	487	8.1	10	12	1	23	4	45	0	0	0
4	2017-09-23	@	Vanderbilt	W (59-0)	17	27	63.0	181	2	66	496	7.5	6	93	677	7.3	12	24	2	38	6	40	0	0	0
5	2017-09-30		Mississippi	W (66-3)	15	24	62.5	248	3	51	365	7.2	5	75	613	8.2	11	14	1	26	7	60	0	0	0
6	2017-10-07	@	Texas A&M	W (27-19)	13	22	59.1	123	1	44	232	5.3	2	66	355	5.4	6	8	2	16	6	50	1	0	1
7	2017-10-14		Arkansas	W (41-9)	13	21	61.9	188	1	43	308	7.2	4	64	496	7.8	9	14	0	23	6	66	1	1	2
8	2017-10-21		Tennessee	W (45-7)	22	33	66.7	332	2	53	272	5.1	4	86	604	7.0	16	16	3	35	7	56	1	1	2
9	2017-11-04		Louisiana State	W (24-10)	11	24	45.8	183	1	36	116	3.2	2	60	299	5.0	6	7	1	14	1	11	0	0	0
10	2017-11-11	@	Mississippi State	W (31-24)	10	19	52.6	242	1	38	202	5.3	3	57	444	7.8	7	11	1	19	5	60	0	0	0
11	2017-11-18		Mercer	W (56-0)	14	18	77.8	265	6	42	265	6.3	2	60	530	8.8	10	12	0	22	1	5	2	0	2
12	2017-11-25	@	Auburn	L (14-26)	13	23	56.5	103	1	38	211	5.6	1	61	314	5.1	4	12	2	18	9	65	1	0	1
13	2018-01-01	N	Clemson*	W (24-6)	16	24	66.7	120	2	42	141	3.4	0	66	261	4.0	6	9	3	16	2	10	1	0	1
14	2018-01-08	N	Georgia*	W (26-23)	17	32	53.1	187	3	39	184	4.7	0	71	371	5.2	8	10	2	20	6	41	0	1	1
14 Games				204	333	61.3	2708	28	612	3509	5.7	36	945	6217	6.6	120	174	19	311	69	569	7	3	10
DEFENSE
1	2017-09-02	N	Florida State	W (24-7)	19	33	57.6	210	1	27	40	1.5	0	60	250	4.2	10	4	1	15	4	30	1	2	3
2	2017-09-09		Fresno State	W (41-10)	26	41	63.4	216	1	21	71	3.4	0	62	287	4.6	11	5	2	18	1	6	0	1	1
3	2017-09-16		Colorado State	W (41-23)	21	38	55.3	247	2	40	144	3.6	1	78	391	5.0	11	8	3	22	3	14	0	2	2
4	2017-09-23	@	Vanderbilt	W (59-0)	7	22	31.8	38	0	16	40	2.5	0	38	78	2.1	1	1	1	3	5	20	1	1	2
5	2017-09-30		Mississippi	W (66-3)	14	29	48.3	165	0	26	88	3.4	0	55	253	4.6	5	4	2	11	3	30	0	2	2
6	2017-10-07	@	Texas A&M	W (27-19)	19	29	65.5	237	1	40	71	1.8	1	69	308	4.5	9	4	3	16	6	45	2	1	3
7	2017-10-14		Arkansas	W (41-9)	23	43	53.5	200	1	29	27	0.9	0	72	227	3.2	9	3	3	15	5	25	0	1	1
8	2017-10-21		Tennessee	W (45-7)	9	16	56.3	44	0	30	64	2.1	0	46	108	2.3	2	3	2	7	9	81	0	1	1
9	2017-11-04		Louisiana State	W (24-10)	15	31	48.4	155	0	42	151	3.6	1	73	306	4.2	8	8	0	16	5	30	0	1	1
10	2017-11-11	@	Mississippi State	W (31-24)	13	24	54.2	158	0	49	172	3.5	3	73	330	4.5	9	10	3	22	4	30	0	0	0
11	2017-11-18		Mercer	W (56-0)	7	22	31.8	54	0	39	107	2.7	0	61	161	2.6	5	4	0	9	2	10	0	3	3
12	2017-11-25	@	Auburn	L (14-26)	22	29	75.9	240	1	49	168	3.4	2	78	408	5.2	15	8	2	25	4	40	1	0	1
13	2018-01-01	N	Clemson*	W (24-6)	18	37	48.6	124	0	33	64	1.9	0	70	188	2.7	8	5	0	14	4	29	0	2	2
14	2018-01-08	N	Georgia*	W (26-23)	16	32	50.0	232	1	45	133	3.0	1	77	365	4.7	11	8	3	22	6	65	0	2	2
14 Games				229	426	53.8	2320	8	486	1340	2.8	9	912	3660	4.0	114	75	25	215	61	455	5	19	24
